kappa      gamma      k          kon        koff                  fcritical       tstat                 comment                                                                                                   
                                                                                                        
                                                                                                        
          1          1          1          1          1                                                 not stable, Newton doesn’t converge                                                                       
   1.00E-05   1.00E-05          1          1          1                   3.00E-01         10           
                                                                                                        
                         1.00E-02                                                 500-3000              not stable for high pressure (f>~1e2)                                                                     
                         1.00E-01                                         3.00E-01150-3000              f=2e-1: mass stationary around 11, higher pressures: mass stationary at much higher value, simulation unst
                         1.00E+01                                         3.00E-011-15                  mass grows, then declines to stationary value                                                             
                         1.00E+02                                                         0.6           mass grows, then declines to stationary value                                                             
                                                                                                        
                                    1.00E-02                              4.00E-03        600           
                                    1.00E-01                              4.00E-02         80           
                                    1.00E+01                                     3          8           
                                    1.00E+02                                     3          5           
                                    1.00E+10                                    20          5           
                                                                                                        
                                               1.00E-02                          3          6           
                                               1.00E-01                          3          6           
                                               1.00E+01                   4.00E-02         40           
                                               1.00E+02                   4.00E-03        500           
